,,,59.579997469E-6,-152.00001001E-3,,,,,59.579997469E-6,-25.59999935E-3,
,,,59.583999246E-6,-156.00000322E-3,,,,,59.583999246E-6,-27.99999900E-3,
,,,59.587997384E-6,-152.00001001E-3,,,,,59.587997384E-6,-23.19999970E-3,
,,,59.591999161E-6,-158.00000727E-3,,,,,59.591999161E-6,-26.39999986E-3,
,,,59.595997300E-6,-156.00000322E-3,,,,,59.595997300E-6,-26.39999986E-3,
,,,59.599999076E-6,-154.00001407E-3,,,,,59.599999076E-6,-24.00000021E-3,
,,,59.603997215E-6,-158.00000727E-3,,,,,59.603997215E-6,-24.79999885E-3,
,,,59.607998992E-6,-156.00000322E-3,,,,,59.607998992E-6,-24.00000021E-3,
,,,59.611997131E-6,-158.00000727E-3,,,,,59.611997131E-6,-24.00000021E-3,
,,,59.615998907E-6,-156.00000322E-3,,,,,59.615998907E-6,-24.79999885E-3,
,,,59.619997046E-6,-160.00001132E-3,,,,,59.619997046E-6,-21.59999870E-3,
,,,59.623998823E-6,-158.00000727E-3,,,,,59.623998823E-6,-21.59999870E-3,
,,,59.627996961E-6,-158.00000727E-3,,,,,59.627996961E-6,-23.19999970E-3,
,,,59.631998738E-6,-160.00001132E-3,,,,,59.631998738E-6,-21.59999870E-3,
,,,59.635996877E-6,-160.00001132E-3,,,,,59.635996877E-6,-22.39999920E-3,
,,,59.639998653E-6,-158.00000727E-3,,,,,59.639998653E-6,-21.59999870E-3,
,,,59.643996792E-6,-162.00000048E-3,,,,,59.643996792E-6,-19.1999990E-3,
,,,59.647998569E-6,-162.00000048E-3,,,,,59.647998569E-6,-22.39999920E-3,
,,,59.651996708E-6,-162.00000048E-3,,,,,59.651996708E-6,-19.9999996E-3,
,,,59.655998484E-6,-162.00000048E-3,,,,,59.655998484E-6,-20.80000006E-3,
,,,59.659996623E-6,-162.00000048E-3,,,,,59.659996623E-6,-19.9999996E-3,
,,,59.663998400E-6,-164.00000453E-3,,,,,59.663998400E-6,-16.7999994E-3,
,,,59.667996538E-6,-164.00000453E-3,,,,,59.667996538E-6,-20.80000006E-3,
,,,59.671998315E-6,-164.00000453E-3,,,,,59.671998315E-6,-16.7999994E-3,
,,,59.675996454E-6,-164.00000453E-3,,,,,59.675996454E-6,-19.1999990E-3,
,,,59.679998230E-6,-166.00000858E-3,,,,,59.679998230E-6,-18.4000004E-3,
,,,59.683996369E-6,-168.00001264E-3,,,,,59.683996369E-6,-17.5999999E-3,
,,,59.687998146E-6,-166.00000858E-3,,,,,59.687998146E-6,-16.7999994E-3,
,,,59.691999923E-6,-168.00001264E-3,,,,,59.691999923E-6,-17.5999999E-3,
,,,59.695998061E-6,-168.00001264E-3,,,,,59.695998061E-6,-17.5999999E-3,
,,,59.699999838E-6,-168.00001264E-3,,,,,59.699999838E-6,-17.5999999E-3,
,,,59.703997977E-6,-164.00000453E-3,,,,,59.703997977E-6,-17.5999999E-3,
,,,59.707999753E-6,-168.00001264E-3,,,,,59.707999753E-6,-15.1999993E-3,
,,,59.711997892E-6,-172.00000584E-3,,,,,59.711997892E-6,-16.7999994E-3,
,,,59.715999669E-6,-172.00000584E-3,,,,,59.715999669E-6,-16.7999994E-3,
,,,59.719997807E-6,-170.00000179E-3,,,,,59.719997807E-6,-13.5999992E-3,
,,,59.723999584E-6,-170.00000179E-3,,,,,59.723999584E-6,-15.9999989E-3,
,,,59.727997723E-6,-172.00000584E-3,,,,,59.727997723E-6,-13.5999992E-3,
